"groups_pas","ST07","ST08","ST09","ST10","ST12","ST13","ST14","ST15","ST16","ST17","ST18","ST18-2","soundspeed","synced_time"
0,NA,NA,958508.147140496,958508.128462985,NA,958508.1670356,NA,958508.053426357,958508.08987637,NA,958508.085800374,NA,1458.12843080444,"2015-10-17 12:48:32.486811392"
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1458.12843080444,"2015-10-17 13:03:24.433384960"
0,NA,959713.014063006,NA,959713.035469301,NA,959713.080285604,959713.032272748,959712.965752286,959713.002028157,959713.025768021,959712.998225016,959713.012210086,1458.12843080444,"2015-10-17 13:08:37.399137280"
0,NA,960294.027568006,NA,NA,NA,NA,960294.04596743,960293.979376217,960294.016011528,960294.039416844,960294.011826115,960294.025800773,1458.12843080444,"2015-10-17 13:18:18.412761088"
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1458.12843080444,"2015-10-17 13:33:24.433384960"
0,NA,962090.751307006,NA,NA,NA,NA,962090.769584234,962090.70304574,962090.739416245,962090.763139846,962090.735682485,962090.749509769,1458.12843080444,"2015-10-17 13:48:15.136430848"
0,NA,962636.634786006,962636.679285903,962636.661686982,NA,NA,962636.653139968,962636.586661106,962636.622950528,962636.646590973,962636.61904026,962636.633187883,1458.12843080444,"2015-10-17 13:57:21.020046080"
0,NA,963185.310220006,NA,NA,NA,NA,963185.328536015,963185.262128583,963185.298325437,963185.322077335,963185.29455364,963185.308524069,1458.12843080444,"2015-10-17 14:06:29.695513600"
0,NA,963739.521463006,NA,NA,NA,NA,963739.539810742,963739.473204284,963739.509682591,963739.533337199,963739.505780249,963739.519875628,1458.12843080444,"2015-10-17 14:15:43.906589184"
0,NA,964304.634129006,964304.67790049,NA,NA,964304.700102279,964304.652449858,964304.586095473,964304.622406247,964304.64604913,964304.61863339,964304.632552863,1458.12843080444,"2015-10-17 14:25:09.019480576"
0,NA,964891.084045006,964891.128725498,NA,NA,NA,964891.102225747,964891.035728777,964891.072073961,964891.095674336,964891.068349828,964891.082183381,1458.21690729631,"2015-10-17 14:34:55.469113856"
0,NA,965521.272947006,NA,965521.297544754,NA,NA,965521.291452375,965521.224725951,965521.261106627,965521.285001825,965521.257273313,965521.271398479,1458.21690729631,"2015-10-17 14:45:25.658110976"
0,NA,966118.200492006,966118.245205905,NA,NA,966118.269857563,966118.21870052,966118.152081902,966118.188550917,966118.212188186,966118.184622522,966118.198748906,1458.21690729631,"2015-10-17 14:55:22.585466880"
0,NA,966768.900759007,NA,NA,NA,NA,966768.919081721,966768.85263348,966768.888845766,966768.912648145,966768.885121744,966768.899108442,1458.21690729631,"2015-10-17 15:06:13.286018560"
0,NA,967407.401124006,NA,NA,NA,967407.469009387,967407.419527231,967407.353091025,967407.389301314,967407.412886342,967407.38601312,967407.399554841,1458.21690729631,"2015-10-17 15:16:51.786476032"
0,NA,968021.501489007,NA,NA,NA,NA,968021.519702442,968021.453158477,968021.489478242,968021.513280048,968021.485591775,968021.499597598,1458.12843080444,"2015-10-17 15:27:05.886543360"
0,NA,968586.538155006,968586.579656124,968586.559465725,NA,NA,968586.556443103,968586.489851807,968586.526203961,968586.549893862,968586.522347088,968586.53634407,1458.12843080444,"2015-10-17 15:36:30.923236864"
0,NA,969173.017271006,969173.062482751,NA,NA,969173.085873373,969173.03561754,969172.969084223,969173.0053707,969173.029217924,969173.001562665,969173.015445743,1458.12843080444,"2015-10-17 15:46:17.402469120"
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1458.12843080444,"2015-10-17 15:53:24.433384960"
0,NA,970400.475013007,NA,NA,NA,NA,970400.493283414,970400.426731489,970400.463040558,970400.486723418,970400.459130566,970400.473195604,1458.12843080444,"2015-10-17 16:06:44.860116480"
0,NA,971051.613272007,971051.656722032,NA,NA,971051.675856477,971051.631655178,971051.565176061,971051.601526242,971051.62507313,971051.597522804,971051.611675555,1458.12843080444,"2015-10-17 16:17:35.998561024"
0,NA,971690.637630007,971690.6803339,971690.657548418,NA,971690.69813501,971690.655889276,971690.589424567,971690.625770551,971690.649299072,971690.621806171,971690.635954481,1458.12843080444,"2015-10-17 16:28:15.022809600"
0,NA,972305.857376007,NA,NA,NA,NA,972305.875539176,972305.809172783,972305.845423102,972305.869168376,972305.841567533,972305.855614767,1458.12843080444,"2015-10-17 16:38:30.242557696"
0,NA,972873.174405007,NA,NA,NA,NA,972873.192529721,972873.126028493,972873.16229924,972873.186029497,972873.158485974,972873.172544884,1458.12843080444,"2015-10-17 16:47:57.559413504"
0,NA,973464.447443007,973464.488891256,NA,NA,973464.512674505,973464.465899356,973464.399279479,973464.435563973,973464.4592442,973464.431626451,973464.4457728,1458.12843080444,"2015-10-17 16:57:48.832664576"
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1458.12843080444,"2015-10-17 17:03:24.433384960"
